event_id,ticket_id,category,service_queue,status,worker_id,assigned_at
run02-G01,TKT-run02-G01,billing,FINANCE,ASSIGNED,w1,2026-09-24T04:26:16.170Z
run02-G02,TKT-run02-G02,technical,TECH,ASSIGNED,w1,2026-09-24T04:26:16.170Z
run02-G03,TKT-run02-G03,account,GENERAL,ASSIGNED,w1,2026-09-24T04:26:16.170Z
run02-G04,TKT-run02-G04,billing,FINANCE,ASSIGNED,w1,2026-09-24T04:26:16.170Z
run02-G05,TKT-run02-G05,technical,TECH,ASSIGNED,w1,2026-09-24T04:26:16.179Z
run02-N01,TKT-run02-N01,billing,FINANCE,ASSIGNED,w1,2026-09-24T04:26:15.380Z
run02-N02,TKT-run02-N02,technical,TECH,ASSIGNED,w1,2026-09-24T04:26:15.379Z
run02-N03,TKT-run02-N03,account,GENERAL,ASSIGNED,w1,2026-09-24T04:26:15.380Z
run02-N04,TKT-run02-N04,billing,FINANCE,ASSIGNED,w1,2026-09-24T04:26:15.380Z
run02-N05,TKT-run02-N05,technical,TECH,ASSIGNED,w1,2026-09-24T04:26:15.399Z
run02-N06,TKT-run02-N06,delivery,GENERAL,ASSIGNED,w1,2026-09-24T04:26:15.399Z
run02-N07,TKT-run02-N07,billing,FINANCE,ASSIGNED,w1,2026-09-24T04:26:15.399Z
run02-N08,TKT-run02-N08,technical,TECH,ASSIGNED,w1,2026-09-24T04:26:15.399Z
run02-N09,TKT-run02-N09,feedback,GENERAL,ASSIGNED,w1,2026-09-24T04:26:15.403Z
run02-N10,TKT-run02-N10,billing,FINANCE,ASSIGNED,w1,2026-09-24T04:26:15.403Z
run02-N11,TKT-run02-N11,technical,TECH,ASSIGNED,w1,2026-09-24T04:26:15.403Z
run02-N12,TKT-run02-N12,account,GENERAL,ASSIGNED,w1,2026-09-24T04:26:15.404Z
run02-N13,TKT-run02-N13,billing,FINANCE,ASSIGNED,w1,2026-09-24T04:26:15.408Z
run02-N14,TKT-run02-N14,technical,TECH,ASSIGNED,w1,2026-09-24T04:26:15.408Z
run02-N15,TKT-run02-N15,delivery,GENERAL,ASSIGNED,w1,2026-09-24T04:26:15.408Z
run02-N16,TKT-run02-N16,billing,FINANCE,ASSIGNED,w1,2026-09-24T04:26:15.408Z
run02-N17,TKT-run02-N17,technical,TECH,ASSIGNED,w1,2026-09-24T04:26:15.411Z
run02-N18,TKT-run02-N18,feedback,GENERAL,ASSIGNED,w1,2026-09-24T04:26:15.412Z
run02-N19,TKT-run02-N19,billing,FINANCE,ASSIGNED,w1,2026-09-24T04:26:15.412Z
run02-N20,TKT-run02-N20,technical,TECH,ASSIGNED,w1,2026-09-24T04:26:15.412Z
run02-V01,TKT-run02-V01,account,GENERAL,ASSIGNED,w1,2026-09-24T04:26:16.963Z
